2019-мая-28 17:22:25.639 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Started BackendApplication in 14.172 seconds (JVM running for 23.301)
2019-мая-28 17:33:09.110 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Starting BackendApplication on DESKTOP-FE3LGGP with PID 8412 (C:\Users\TopProgger\IdeaProjects\Training-Portal-NetCracker-Project\backend\target\classes started by TopProgger in C:\Users\TopProgger\IdeaProjects\Training-Portal-NetCracker-Project)
2019-мая-28 17:33:09.155 DEBUG [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Running with Spring Boot v2.1.4.RELEASE, Spring v5.1.6.RELEASE
2019-мая-28 17:33:09.158 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - No active profile set, falling back to default profiles: default
2019-мая-28 17:33:20.000 DEBUG [restartedMain] com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter - Filter 'authenticationJwtTokenFilter' configured for use
2019-мая-28 17:33:23.198 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Started BackendApplication in 16.788 seconds (JVM running for 25.353)
2019-мая-28 17:46:51.879 INFO  [restartedMain] org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 6217 ms
2019-мая-28 17:46:54.030 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@e5a87e, org.springframework.security.web.context.SecurityContextPersistenceFilter@dc6fd2, org.springframework.security.web.header.HeaderWriterFilter@1d778c8, org.springframework.web.filter.CorsFilter@3b731f, org.springframework.security.web.authentication.logout.LogoutFilter@1e9589f, com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter@1767243, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1bed94b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1ec6d5a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59d9d5, org.springframework.security.web.session.SessionManagementFilter@1b142aa, org.springframework.security.web.access.ExceptionTranslationFilter@1653bbb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1aa37c0]
2019-мая-28 17:47:35.466 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-мая-28 17:47:35.486 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2019-мая-28 17:58:32.910 INFO  [restartedMain] org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 10110 ms
2019-мая-28 17:58:35.951 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1336942, org.springframework.security.web.context.SecurityContextPersistenceFilter@bc06d2, org.springframework.security.web.header.HeaderWriterFilter@10ea7, org.springframework.web.filter.CorsFilter@80f999, org.springframework.security.web.authentication.logout.LogoutFilter@11456c4, com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter@189ae54, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e3ddd0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55c95d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1b0d9b6, org.springframework.security.web.session.SessionManagementFilter@1d3a53a, org.springframework.security.web.access.ExceptionTranslationFilter@1c66cfe, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@15b5e69]
2019-мая-28 18:03:30.887 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-мая-28 18:03:30.981 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 92 ms
28-05-2019 18:11:39.379 [restartedMain] INFO  org.springframework.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 10919 ms
28-05-2019 18:11:42.568 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11ff48c, org.springframework.security.web.context.SecurityContextPersistenceFilter@35c8d6, org.springframework.security.web.header.HeaderWriterFilter@8ab0, org.springframework.web.filter.CorsFilter@11bc4fd, org.springframework.security.web.authentication.logout.LogoutFilter@78d45b, com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter@17e480, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@104e4f4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@10d284b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@372be2, org.springframework.security.web.session.SessionManagementFilter@db2cab, org.springframework.security.web.access.ExceptionTranslationFilter@145b25e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@10e2aa8]
28-05-2019 19:01:10.107 [restartedMain] INFO  org.springframework.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 10916 ms
28-05-2019 19:01:13.207 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10526c0, org.springframework.security.web.context.SecurityContextPersistenceFilter@10c7673, org.springframework.security.web.header.HeaderWriterFilter@9573c3, org.springframework.web.filter.CorsFilter@7a79e7, org.springframework.security.web.authentication.logout.LogoutFilter@18e7397, com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter@156bc16, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@415777, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@143e00, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66182b, org.springframework.security.web.session.SessionManagementFilter@1835213, org.springframework.security.web.access.ExceptionTranslationFilter@e95847, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@dc627b]
28-05-2019 19:06:04.398 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
28-05-2019 19:06:04.420 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 21 ms
